"race_m","income","income_q"
"White",1000,4.41
"White",1100,4.42
"White",1100,4.43
"White",1100,4.44
"White",1100,4.45
"White",1100,4.46
"White",1100,4.47
"White",1200,4.48
"White",1200,4.49
"White",1200,4.5
"White",1200,4.51
"White",1200,4.52
"White",1200,4.53
"White",1200,4.54
"White",1200,4.55
"White",1200,4.56
"White",1200,4.57
"White",1200,4.58
"White",1200,4.59
"White",1200,4.6
"White",1200,4.61
"White",1200,4.62
"White",1200,4.63
"White",1300,4.64
"White",1300,4.65
"White",1300,4.66
"White",1300,4.67
"White",1300,4.68
"White",1300,4.69
"White",1400,4.7
"White",1400,4.71
"White",1400,4.72
"White",1400,4.73
"White",1400,4.74
"White",1400,4.75
"White",1490,4.76
"White",1500,4.77
"White",1500,4.78
"White",1500,4.79
"White",1500,4.8
"White",1500,4.81
"White",1500,4.82
"White",1500,4.83
"White",1500,4.84
"White",1500,4.85
"White",1500,4.86
"White",1500,4.87
"White",1500,4.88
"White",1500,4.89
"White",1500,4.9
"White",1500,4.91
"White",1500,4.92
"White",1500,4.93
"White",1550,4.94
"White",1600,4.95
"White",1600,4.96
"White",1600,4.97
"White",1600,4.98
"White",1600,4.99
"White",1600,5
"White",1600,5.01
"White",1700,5.02
"White",1700,5.03
"White",1700,5.04
"White",1700,5.05
"White",1730,5.06
"White",1800,5.07
"White",1800,5.08
"White",1800,5.09
"White",1800,5.1
"White",1800,5.11
"White",1800,5.12
"White",1800,5.13
"White",1800,5.14
"White",1860.06999999998,5.15
"White",1900,5.16
"White",1900,5.17
"White",1900,5.18
"White",1900,5.19
"White",2000,5.2
"White",2000,5.21
"White",2000,5.22
"White",2000,5.23
"White",2000,5.24
"White",2000,5.25
"White",2000,5.26
"White",2000,5.27
"White",2000,5.28
"White",2000,5.29
"White",2000,5.3
"White",2000,5.31
"White",2000,5.32
"White",2000,5.33
"White",2000,5.34
"White",2000,5.35
"White",2000,5.36
"White",2000,5.37
"White",2000,5.38
"White",2000,5.39
"White",2000,5.4
"White",2000,5.41
"White",2000,5.42
"White",2000,5.43
"White",2000,5.44
"White",2000,5.45
"White",2000,5.46
"White",2000,5.47
"White",2000,5.48
"White",2000,5.49
"White",2000,5.5
"White",2000,5.51
"White",2000,5.52
"White",2000,5.53
"White",2000,5.54
"White",2000,5.55
"White",2000,5.56
"White",2000,5.57
"White",2000,5.58
"White",2000,5.59
"White",2000,5.6
"White",2000,5.61
"White",2000,5.62
"White",2000,5.63
"White",2070,5.64
"White",2100,5.65
"White",2100,5.66
"White",2100,5.67
"White",2100,5.68
"White",2170,5.69
"White",2200,5.7
"White",2200,5.71
"White",2200,5.72
"White",2200,5.73
"White",2200,5.74
"White",2300,5.75
"White",2300,5.76
"White",2300,5.77
"White",2300,5.78
"White",2300,5.79
"White",2400,5.8
"White",2400,5.81
"White",2400,5.82
"White",2400,5.83
"White",2400,5.84
"White",2400,5.85
"White",2400,5.86
"White",2400,5.87
"White",2400,5.88
"White",2500,5.89
"White",2500,5.9
"White",2500,5.91
"White",2500,5.92
"White",2500,5.93
"White",2500,5.94
"White",2500,5.95
"White",2500,5.96
"White",2500,5.97
"White",2500,5.98
"White",2500,5.99
"White",2500,6
"White",2500,6.01
"White",2500,6.02
"White",2500,6.03
"White",2500,6.04
"White",2500,6.05
"White",2500,6.06
"White",2600,6.07
"White",2600,6.08
"White",2600,6.09
"White",2600,6.1
"White",2600,6.11
"White",2700,6.12
"White",2700,6.13
"White",2700,6.14
"White",2700,6.15
"White",2800,6.16
"White",2800,6.17
"White",2800,6.18
"White",2800,6.19
"White",2850,6.2
"White",2900,6.21
"White",2900,6.22
"White",2900,6.23
"White",3000,6.24
"White",3000,6.25
"White",3000,6.26
"White",3000,6.27
"White",3000,6.28
"White",3000,6.29
"White",3000,6.3
"White",3000,6.31
"White",3000,6.32
"White",3000,6.33
"White",3000,6.34
"White",3000,6.35
