"class_f","income","income_q"
"Reserve Army",1000,31.06
"Reserve Army",1036.014,31.07
"Reserve Army",1092.24800000004,31.08
"Reserve Army",1100,31.09
"Reserve Army",1100,31.1
"Reserve Army",1100,31.11
"Reserve Army",1100,31.12
"Reserve Army",1100,31.13
"Reserve Army",1100,31.14
"Reserve Army",1100,31.15
"Reserve Army",1100,31.16
"Reserve Army",1100,31.17
"Reserve Army",1100,31.18
"Reserve Army",1100,31.19
"Reserve Army",1100,31.2
"Reserve Army",1100,31.21
"Reserve Army",1100,31.22
"Reserve Army",1100,31.23
"Reserve Army",1100,31.24
"Reserve Army",1100,31.25
"Reserve Army",1100,31.26
"Reserve Army",1100,31.27
"Reserve Army",1100,31.28
"Reserve Army",1100,31.29
"Reserve Army",1100,31.3
"Reserve Army",1100,31.31
"Reserve Army",1100,31.32
"Reserve Army",1100,31.33
"Reserve Army",1100,31.34
"Reserve Army",1100,31.35
"Reserve Army",1106.672,31.36
"Reserve Army",1150,31.37
"Reserve Army",1200,31.38
"Reserve Army",1200,31.39
"Reserve Army",1200,31.4
"Reserve Army",1200,31.41
"Reserve Army",1200,31.42
"Reserve Army",1200,31.43
"Reserve Army",1200,31.44
"Reserve Army",1200,31.45
"Reserve Army",1200,31.46
"Reserve Army",1200,31.47
"Reserve Army",1200,31.48
"Reserve Army",1200,31.49
"Reserve Army",1200,31.5
"Reserve Army",1200,31.51
"Reserve Army",1200,31.52
"Reserve Army",1200,31.53
"Reserve Army",1200,31.54
"Reserve Army",1200,31.55
"Reserve Army",1200,31.56
"Reserve Army",1200,31.57
"Reserve Army",1200,31.58
"Reserve Army",1200,31.59
"Reserve Army",1200,31.6
"Reserve Army",1200,31.61
"Reserve Army",1200,31.62
"Reserve Army",1200,31.63
"Reserve Army",1200,31.64
"Reserve Army",1200,31.65
"Reserve Army",1200,31.66
"Reserve Army",1200,31.67
"Reserve Army",1200,31.68
"Reserve Army",1200,31.69
"Reserve Army",1200,31.7
"Reserve Army",1200,31.71
"Reserve Army",1200,31.72
"Reserve Army",1200,31.73
"Reserve Army",1200,31.74
"Reserve Army",1200,31.75
"Reserve Army",1200,31.76
"Reserve Army",1200,31.77
"Reserve Army",1200,31.78
"Reserve Army",1200,31.79
"Reserve Army",1200,31.8
"Reserve Army",1200,31.81
"Reserve Army",1200,31.82
"Reserve Army",1200,31.83
"Reserve Army",1200,31.84
"Reserve Army",1200,31.85
"Reserve Army",1200,31.86
"Reserve Army",1200,31.87
"Reserve Army",1200,31.88
"Reserve Army",1200,31.89
"Reserve Army",1200,31.9
"Reserve Army",1200,31.91
"Reserve Army",1200,31.92
"Reserve Army",1200,31.93
"Reserve Army",1200,31.94
"Reserve Army",1200,31.95
"Reserve Army",1200,31.96
"Reserve Army",1200,31.97
"Reserve Army",1200,31.98
"Reserve Army",1200,31.99
"Reserve Army",1200,32
"Reserve Army",1200,32.01
"Reserve Army",1200,32.02
"Reserve Army",1200,32.03
"Reserve Army",1200,32.04
"Reserve Army",1200,32.05
"Reserve Army",1200,32.06
"Reserve Army",1200,32.07
"Reserve Army",1200,32.08
"Reserve Army",1200,32.09
"Reserve Army",1200,32.1
"Reserve Army",1200,32.11
"Reserve Army",1200,32.12
"Reserve Army",1210,32.13
"Reserve Army",1230,32.14
"Reserve Army",1290,32.15
"Reserve Army",1300,32.16
"Reserve Army",1300,32.17
"Reserve Army",1300,32.18
"Reserve Army",1300,32.19
"Reserve Army",1300,32.2
"Reserve Army",1300,32.21
"Reserve Army",1300,32.22
"Reserve Army",1300,32.23
"Reserve Army",1300,32.24
"Reserve Army",1300,32.25
"Reserve Army",1300,32.26
"Reserve Army",1300,32.27
"Reserve Army",1300,32.28
"Reserve Army",1300,32.29
"Reserve Army",1300,32.3
"Reserve Army",1300,32.31
"Reserve Army",1300,32.32
"Reserve Army",1300,32.33
"Reserve Army",1300,32.34
"Reserve Army",1300,32.35
"Reserve Army",1300,32.36
"Reserve Army",1300,32.37
"Reserve Army",1300,32.38
"Reserve Army",1300,32.39
"Reserve Army",1300,32.4
"Reserve Army",1300,32.41
"Reserve Army",1300,32.42
"Reserve Army",1310,32.43
"Reserve Army",1350,32.44
"Reserve Army",1400,32.45
"Reserve Army",1400,32.46
"Reserve Army",1400,32.47
"Reserve Army",1400,32.48
"Reserve Army",1400,32.49
"Reserve Army",1400,32.5
"Reserve Army",1400,32.51
"Reserve Army",1400,32.52
"Reserve Army",1400,32.53
"Reserve Army",1400,32.54
"Reserve Army",1400,32.55
"Reserve Army",1400,32.56
"Reserve Army",1400,32.57
"Reserve Army",1400,32.58
"Reserve Army",1400,32.59
"Reserve Army",1400,32.6
"Reserve Army",1400,32.61
"Reserve Army",1400,32.62
"Reserve Army",1400,32.63
"Reserve Army",1400,32.64
"Reserve Army",1400,32.65
"Reserve Army",1400,32.66
"Reserve Army",1400,32.67
"Reserve Army",1400,32.68
"Reserve Army",1400,32.69
"Reserve Army",1400,32.7
"Reserve Army",1400,32.71
"Reserve Army",1400,32.72
"Reserve Army",1400,32.73
